,city,temperature_f,humidity_perc,cloudiness_perc,wind_speed_mph,latitude,longitude
0,Westport,74.52,50,1,9.17,41.14,-73.36
1,Puerto Ayora,72.77,64,75,10.29,-0.74,-90.35
2,Touros,84.2,58,75,17.22,-5.2,-35.46
3,Kahului,74.88,74,20,9.17,20.89,-156.47
4,Bluff,65.21,60,81,2.17,-23.58,149.07
5,North Bend,45.9,93,20,6.93,43.41,-124.22
6,Mataura,46.99,88,100,5.99,-46.19,168.86
7,Punta Arenas,46.2,61,75,17.22,-53.16,-70.91
8,Chuy,65.21,74,9,15.05,-33.69,-53.46
9,Padang,79.07,85,98,19.37,-0.92,100.36
10,Kapaa,76.6,78,40,9.17,22.08,-159.32
11,Laguna,86.0,84,75,4.7,16.17,-88.94
12,Beira,65.82,88,90,8.05,43.2,-8.36
13,Hilo,71.42,73,90,5.82,19.71,-155.08
14,Taree,51.87,93,90,1.9,-31.91,152.46
15,Hasaki,71.28,94,75,1.12,35.73,140.83
16,Oriximina,94.19,43,83,3.11,-1.77,-55.87
17,Lucapa,79.61,48,100,5.01,-8.42,20.74
18,Necochea,84.0,15,0,8.99,-38.55,-58.74
19,Hobart,44.11,56,51,8.05,-42.88,147.33
20,Ushuaia,42.8,87,40,3.8,-54.81,-68.31
21,Ahuimanu,76.71,74,1,8.05,21.44,-157.84
22,Mahebourg,73.18,78,20,6.93,-20.41,57.7
23,Rzhev,49.55,95,100,4.88,56.26,34.33
24,Half Moon Bay,58.35,58,5,8.05,37.46,-122.43
25,Sabang,79.0,85,100,2.91,13.8,121.11
26,Qaanaaq,32.63,64,56,8.63,77.48,-69.36
27,Thompson,35.6,74,75,2.24,55.74,-97.86
28,Rikitea,70.79,75,100,10.31,-23.12,-134.97
29,Zirandaro,72.05,96,100,2.8,18.45,-100.98
30,Boa Vista,87.8,55,75,4.7,2.82,-60.67
31,Port Elizabeth,79.41,57,20,10.29,39.31,-74.98
32,Clyde River,37.4,100,75,6.93,70.47,-68.59
33,Vostok,38.75,81,69,3.4,46.45,135.83
34,Tiksi,23.81,93,17,4.34,71.64,128.87
35,Bodh Gaya,75.2,100,90,8.3,24.7,84.98
36,Busselton,55.65,67,0,11.9,-33.64,115.35
37,Saint-Philippe,55.24,47,1,5.82,45.36,-73.48
38,Samarkand,68.0,42,83,4.7,39.65,66.98
39,Tautira,75.09,78,20,2.24,-17.73,-149.15
40,Atuona,79.43,80,25,20.6,-9.8,-139.03
41,Koslan,41.09,79,100,7.74,63.46,48.9
42,Tuktoyaktuk,33.8,71,75,10.29,69.44,-133.03
43,Garoua,82.4,69,20,12.75,9.31,13.39
44,Makinsk,28.67,86,33,7.36,52.63,70.42
45,Warrington,55.62,82,75,11.41,53.39,-2.59
46,Port Hedland,69.8,88,0,4.7,-20.31,118.58
47,Albany,62.67,59,75,12.75,42.65,-73.75
48,Lavrentiya,34.43,89,33,3.4,65.58,-170.99
49,Iberia,101.03,26,19,2.35,-11.41,-69.49
50,Saldanha,72.41,44,0,7.56,41.42,-6.55
51,Cidreira,70.61,67,6,12.86,-30.17,-50.22
52,Brainerd,48.51,93,90,10.29,46.36,-94.2
53,Ilulissat,41.0,60,55,3.36,69.22,-51.1
54,Kjollefjord,37.58,80,90,3.36,70.95,27.35
55,Baringo,60.71,84,90,4.79,0.47,35.97
56,Dikson,31.19,93,87,2.48,73.51,80.55
57,Tucupita,93.29,48,35,4.7,9.06,-62.05
58,Kaeo,57.99,100,98,19.86,-35.1,173.78
59,Penzance,59.97,87,20,21.92,50.12,-5.53
60,Mar del Plata,56.75,21,0,40.62,-46.43,-67.52
61,Hermanus,59.56,76,100,1.99,-34.42,19.24
62,Victoria,78.37,88,90,1.12,5.28,115.24
63,Lompoc,60.15,71,1,3.36,34.64,-120.46
64,Tandil,80.96,36,0,7.0,-37.33,-59.14
65,Cherskiy,28.49,89,100,4.65,68.75,161.3
66,Fort Nelson,30.2,86,20,4.7,58.81,-122.69
67,Cape Town,61.39,59,20,25.28,-33.93,18.42
68,Carnarvon,48.65,71,52,34.94,-30.97,22.13
69,Chernyshevskiy,32.45,98,100,3.29,63.01,112.47
70,Ancud,51.8,62,75,16.11,-41.87,-73.83
71,Roshal,47.93,92,100,8.37,55.66,39.88
72,Provideniya,37.13,90,91,4.16,64.42,-173.23
73,Grindavik,49.26,81,75,1.12,63.84,-22.43
74,Shache,72.95,13,0,5.17,38.42,77.24
75,Hithadhoo,81.77,74,15,9.42,-0.6,73.08
76,Santa Fe,89.4,34,0,10.0,-31.62,-60.7
77,Vaini,75.29,90,95,1.48,15.34,74.49
78,Martapura,78.8,78,75,1.12,-3.41,114.85
79,Kruisfontein,57.65,91,100,19.13,-34.0,24.73
80,Sambava,68.81,94,92,1.88,-14.27,50.17
81,Byron Bay,60.4,100,75,2.24,-28.65,153.62
82,Khatanga,25.97,79,70,6.4,71.98,102.47
83,Barra do Garcas,98.6,30,20,8.05,-15.89,-52.26
84,Faanui,78.17,79,48,22.88,-16.48,-151.75
85,Lima,66.2,77,75,10.29,-12.06,-77.04
86,Merta,76.19,82,3,6.98,26.65,74.03
87,Arraial do Cabo,71.6,78,90,10.29,-22.97,-42.02
88,Guerrero Negro,67.73,81,22,15.43,27.97,-114.04
89,Buchanan,84.2,83,75,11.41,5.88,-10.05
90,Zhezkazgan,41.0,38,9,6.71,47.8,67.71
91,Sipe Sipe,78.8,27,0,5.82,-17.45,-66.36
92,Sotnikovo,33.8,94,20,8.95,51.88,107.48
93,Bredasdorp,59.0,58,100,16.11,-34.53,20.04
94,Russell,81.07,74,1,25.28,38.9,-98.86
95,Immokalee,85.17,55,40,12.75,26.42,-81.42
96,Alepe,82.4,78,40,11.41,5.5,-3.66
97,Port Alfred,62.01,92,100,5.99,-33.59,26.89
98,Uvarovka,49.01,97,100,5.7,55.53,35.61
99,Jamestown,44.15,88,51,7.61,-33.21,138.6
100,Lagoa,73.89,60,0,5.82,37.14,-8.45
101,Tavricheskoye,35.6,74,75,11.18,54.59,73.64
102,Talnakh,32.0,97,75,6.71,69.49,88.39
103,Hambantota,80.33,79,98,2.93,6.12,81.12
104,Barrow,82.85,42,0,17.43,-38.31,-60.23
105,Coquimbo,55.4,82,90,6.93,-29.95,-71.34
106,Gat,86.0,62,0,11.41,14.69,-16.54
107,Ketchikan,43.74,87,1,5.82,55.34,-131.65
108,Zaysan,44.15,87,100,11.14,47.47,84.87
109,Luderitz,56.21,89,5,24.63,-26.65,15.16
110,Mbanza-Ngungu,75.11,68,66,4.47,-5.25,14.87
111,Dunmore East,62.6,67,20,11.41,52.15,-6.99
112,Saint-Pierre,64.56,88,75,21.92,48.95,4.24
113,Castro,51.8,62,75,16.11,-42.48,-73.76
114,La Tuque,50.63,45,1,8.32,47.44,-72.79
115,Anori,85.01,64,100,3.58,-3.74,-61.66
116,Muros,65.64,100,90,9.17,42.77,-9.06
117,High Level,28.4,68,20,2.24,58.52,-117.13
118,Ribeira Grande,71.6,88,75,10.29,38.52,-28.7
119,Sorland,42.57,70,40,18.34,67.67,12.69
120,Fort Atkinson,57.2,100,90,16.11,42.93,-88.84
121,Shenzhen,82.13,83,0,4.47,22.54,114.05
122,Saskylakh,20.75,88,0,0.43,71.97,114.09
123,Kutum,84.83,31,71,5.79,14.2,24.66
124,Ponta do Sol,82.49,32,27,6.78,-20.63,-46.0
125,Chandler,80.65,47,1,5.82,33.31,-111.84
126,Kalmunai,73.49,89,55,2.75,7.42,81.82
127,Constitucion,68.43,52,40,6.93,23.99,-104.67
128,Tecoanapa,77.0,94,90,8.05,16.99,-99.26
129,Tshikapa,76.19,73,83,5.66,-6.42,20.79
130,Shanghai,72.72,88,20,6.71,31.23,121.49
131,Vila Franca do Campo,72.93,88,20,14.99,37.72,-25.43
132,Pechenga,45.95,86,100,11.05,58.89,41.46
133,Thinadhoo,82.31,73,76,8.77,0.53,72.93
134,Airai,68.27,67,84,3.91,-8.93,125.41
135,Kaitangata,48.0,85,84,1.99,-46.28,169.85
136,Sitka,81.09,78,10,15.99,37.17,-99.65
137,Nome,87.84,52,40,5.82,30.04,-94.42
138,Belaya Gora,26.33,83,100,4.97,68.54,146.19
139,Fortuna,52.36,81,40,10.29,40.6,-124.16
140,Khani,62.6,88,40,3.36,41.96,42.96
141,East London,68.0,72,0,26.4,-33.02,27.91
142,Ballina,57.24,76,40,10.29,54.11,-9.15
143,Alofi,71.6,94,34,11.41,-19.06,-169.92
144,Berja,82.42,69,0,1.12,36.85,-2.95
145,Avarua,71.6,73,61,8.05,-21.21,-159.78
146,Nikolskoye,48.06,93,90,8.95,59.7,30.79
147,Sheltozero,48.11,86,93,11.5,61.37,35.37
148,New Norfolk,44.11,56,51,8.05,-42.78,147.06
149,Road Town,87.76,66,1,5.82,18.42,-64.62
150,Vardo,81.21,54,1,9.17,39.62,-77.74
151,Honningsvag,37.04,60,75,11.41,70.98,25.97
152,Upernavik,40.01,61,0,5.03,72.79,-56.15
153,Griffith,44.01,61,59,6.93,-34.29,146.06
154,Roald,48.13,93,75,16.11,62.58,6.12
155,Salalah,82.4,78,75,12.75,17.01,54.1
156,Yellowknife,39.09,69,75,8.05,62.45,-114.38
157,Corn Island,83.75,79,94,11.01,12.17,-83.04
158,Pucara,88.03,28,1,7.02,-21.7,-64.2
159,Abha,75.2,31,40,12.75,18.22,42.5
160,Bam,62.69,33,80,4.68,29.11,58.36
161,Kyren,32.99,74,40,5.86,51.68,102.13
162,Kirakira,79.07,83,100,6.87,-10.46,161.92
163,Olinda,48.99,76,90,5.82,-37.84,145.39
164,Pevek,32.63,83,100,24.43,69.7,170.27
165,Ekhabi,44.51,64,72,26.26,53.51,142.97
166,Butaritari,85.73,61,84,8.12,3.07,172.79
167,Diego de Almagro,64.49,42,1,10.29,-26.39,-70.05
168,Povenets,46.31,87,94,7.67,62.85,34.83
169,Kieta,80.51,76,100,5.82,-6.22,155.63
170,Amga,27.59,82,86,2.3,60.89,131.98
171,Alice Springs,68.0,24,0,1.12,-23.7,133.88
172,Mount Gambier,48.2,76,90,11.41,-37.83,140.78
173,Beruwala,82.13,76,100,14.34,6.48,79.98
174,Baindur,79.43,82,64,5.59,13.87,74.63
175,Labytnangi,28.31,99,100,3.31,66.66,66.39
176,Senneterre,46.4,52,20,4.7,48.39,-77.24
177,Teahupoo,75.09,78,20,2.24,-17.83,-149.27
178,San Patricio,92.21,26,0,3.98,-26.98,-56.83
179,Lebu,56.39,90,90,3.83,8.96,38.73
180,Taoudenni,105.17,6,71,6.31,22.68,-3.98
181,Abalak,97.43,8,88,5.03,15.46,6.28
182,Biak,63.41,98,95,3.69,-0.91,122.88
183,Lebyazhye,48.0,93,90,8.95,59.96,29.42
184,Goderich,57.38,72,97,13.0,43.74,-81.71
185,Bereda,66.96,88,90,8.05,43.27,-7.54
186,Massakory,85.55,54,83,9.48,13.0,15.73
187,Bowen,59.0,93,24,2.24,-20.01,148.25
188,Georgetown,88.77,74,75,16.11,6.8,-58.16
189,Homer,53.08,66,90,3.36,59.64,-151.54
190,Tilichiki,31.55,77,80,2.08,60.47,166.1
191,San Quintin,74.57,91,99,2.73,17.54,120.52
192,Sao Joao da Barra,74.26,69,75,6.93,-21.64,-41.05
193,Komsomolskiy,33.35,99,100,6.71,67.55,63.78
194,Atbasar,34.07,75,29,5.44,51.81,68.36
195,Kainantu,52.61,96,4,0.45,-6.29,145.87
196,Pangnirtung,41.0,93,75,5.82,66.15,-65.72
197,Murbad,82.4,83,40,4.7,19.14,73.43
198,Dunedin,48.0,92,100,7.0,-45.87,170.5
199,Teknaf,83.21,70,100,2.44,20.86,92.31
200,Sao Raimundo das Mangabeiras,98.69,26,75,7.2,-7.02,-45.48
201,Elkton,77.65,64,20,5.82,39.61,-75.83
202,Longyearbyen,33.8,59,75,17.22,78.22,15.63
203,Svetlaya,43.25,72,100,6.82,46.54,138.33
204,Ende,77.27,82,92,4.29,-8.84,121.65
205,Yulara,77.0,16,74,8.05,-25.24,130.99
206,Camopi,97.43,33,58,5.37,3.17,-52.33
207,Nuuk,46.2,75,90,6.93,64.17,-51.74
208,Zhumadian,69.89,48,0,5.03,33.01,114.02
209,Tougan,90.59,40,0,3.47,13.07,-3.07
210,Kodiak,74.25,94,90,12.75,39.95,-94.76
211,Bonavista,52.0,81,100,1.99,48.65,-53.11
212,Prince Rupert,44.6,70,1,10.29,54.32,-130.32
213,Ostrovnoy,41.99,87,100,17.96,68.05,39.51
214,Codrington,57.88,93,66,2.24,-28.95,153.24
215,Bitung,75.2,94,20,2.24,1.44,125.19
216,Gaspe,53.6,50,20,19.46,48.83,-64.48
217,Aswan,95.0,19,0,2.24,24.09,32.9
218,Bethel,46.4,100,90,5.82,60.79,-161.76
219,Garissa,80.87,59,7,16.42,-0.46,39.64
220,Colesberg,52.97,62,50,12.95,-30.72,25.1
221,Front Royal,83.37,54,1,5.82,38.92,-78.19
222,Carutapera,85.19,65,62,10.13,-1.2,-46.02
223,Perelyub,47.21,56,100,8.08,51.87,50.37
224,Roberval,48.11,45,75,11.41,48.51,-72.22
225,Okato,51.01,93,83,14.0,-39.19,173.88
226,Ornskoldsvik,52.81,87,90,8.05,63.29,18.72
227,Noumea,66.78,82,0,2.24,-22.28,166.46
